Trtmt,Sp,Rep,ID,Plate,Tray,Row,Col,Date Sowed,H,Ex,C,Pheno,DateEmerg,D2Emerg,Survival,HarvestD,No.Lvs,WetWt,A_WetWt,B_WetWt,PhotoIDNo.,PhotoIDLet,PhotoIDAdd,PhotoID
0,Basil,1,1,1,1,5,2,18-Nov-16,2,2,1,2.2.1,23-Nov-16,5,1,01-Dec-16,0,35.5,33.49,1.77,4,C,,9325
0,Basil,1,2,1,4,1,3,18-Nov-16,2,2,1,2.2.1,20-Nov-16,2,1,05-Dec-16,2,70.08,63.24,6.62,6,A,,9367
0,Basil,1,3,1,2,5,1,18-Nov-16,2,2,0,2.2.0,25-Nov-16,7,1,02-Dec-16,0,34.14,31.48,2.21,3,A,,9339
0,Basil,1,4,1,3,6,4,18-Nov-16,2,2,0,2.2.0,22-Nov-16,4,1,02-Dec-16,0,13.41,12.23,1.16,18,D,,9354
0,Basil,1,5,5,3,10,3,18-Nov-16,1,2,0,1.2.0,21-Nov-16,3,1,02-Dec-16,0,30.69,26.96,3.71,20,C,,9356
0,Basil,1,6,5,2,10,2,18-Nov-16,1,1,0,1.1.0,21-Nov-16,3,1,02-Dec-16,0,31.89,28.4,3.22,5,D,,9341
0,Basil,1,7,5,3,5,3,18-Nov-16,1,1,0,1.1.0,21-Nov-16,3,1,02-Dec-16,0,40.01,36.44,2.96,18,A,,9354
0,Basil,1,8,5,1,7,2,18-Nov-16,1,1,0,1.1.0,25-Nov-16,7,1,01-Dec-16,0,24.88,22.22,2.51,5,B,,9326
0,Basil,1,9,4,4,2,2,18-Nov-16,1,2,1,1.2.1,20-Nov-16,2,1,05-Dec-16,2,131.85,112.83,14.19,1,D,,9362
0,Basil,1,10,4,3,6,1,18-Nov-16,1,2,0,1.2.0,22-Nov-16,4,1,02-Dec-16,0,44.1,39.87,4.06,13,B,,9349
0,Basil,1,11,4,2,2,3,18-Nov-16,1,2,1,1.2.1,21-Nov-16,3,1,02-Dec-16,0,26.93,24.01,2.7,6,C,,9342
0,Basil,1,12,4,1,6,4,18-Nov-16,1,2,0,1.2.0,22-Nov-16,4,1,01-Dec-16,0,32.07,28.64,2.74,8,D,,9329
0,Basil,1,13,3,3,6,2,18-Nov-16,1,1,0,1.1.0,21-Nov-16,3,1,02-Dec-16,0,55.83,51.23,3.84,13,C,,9349
0,Basil,1,14,3,4,6,2,18-Nov-16,1,1,0,1.1.0,24-Nov-16,6,1,05-Dec-16,0,45.24,42.22,2.74,3,D,,9364
0,Basil,1,15,3,1,1,1,18-Nov-16,1,1,0,1.1.0,21-Nov-16,3,1,01-Dec-16,0,32.7,27.71,3.65,1,,,9322
0,Basil,1,16,3,3,10,1,18-Nov-16,1,1,0,1.1.0,21-Nov-16,3,1,02-Dec-16,2,62.81,53.33,6.77,15,C,,9351
0,Basil,1,17,2,4,5,2,18-Nov-16,1,2,1,1.2.1,21-Nov-16,3,1,05-Dec-16,2,101.64,91.72,8.78,3,B,,9364
0,Basil,1,18,2,4,2,4,18-Nov-16,2,2,0,2.2.0,23-Nov-16,5,1,05-Dec-16,0,60.75,54.08,6.44,6,C,,9367
0,Basil,1,19,2,3,7,2,18-Nov-16,1,1,0,1.1.0,21-Nov-16,3,1,02-Dec-16,0,37.27,33.8,3.3,14,B,,9350
0,Basil,1,20,2,1,9,1,18-Nov-16,1,2,1,1.2.1,21-Nov-16,3,1,01-Dec-16,0,58.82,52.1,5.24,5,C,,9326
