"Trtmt","Sp","Rep","ID","Plate","Tray","Row","Col","Date.Sowed","H","Ex","C","DateEmerg","Survival","No.Lvs","WetWt","A_WetWt","B_WetWt","LogB_WetWt","sqrtB_WetWt","rankB_WetWt"
"0","Basil","1","15","3","1","1","1",2016-11-18,"1","1","0",2016-11-21,"1",0,32.7,27.71,3.65,0.667452952889954,2.03715487874634,77
"100","Lettuce","1","6","3","1","1","2",2016-11-18,"0","1","0",2016-11-21,"1",2,102.42,69.06,3.59,0.661812685537261,2.02237484161567,74
"50","Basil","1","1","2","1","1","3",2016-11-18,"0","1","0",NA,"0",NA,NA,NA,NA,NA,NA,136
"25","Lettuce","1","1","3","1","1","4",2016-11-18,"1","2","1",2016-11-20,"1",2,95.96,92.56,3.03,0.605305046141109,1.87882942280559,59
"25","Lettuce","1","2","3","1","2","1",2016-11-18,"1","2","1",2016-11-19,"1",2,103.34,97.38,4.96,0.775246259740236,2.33666428910958,95
"0","Lettuce","1","20","1","1","2","2",2016-11-18,"2","2","1",2016-11-20,"1",2,110.86,91.86,14.4,1.18752072083646,3.86005181312376,134
"50","Basil","1","11","3","1","2","3",2016-11-18,"0","1","0",2016-11-21,"1",0,57.06,55.54,1.42,0.383815365980431,1.3856406460551,13
"25","Lettuce","1","8","2","1","2","4",2016-11-18,"1","2","1",2016-11-20,"1",2,81.47,80.5,0.75,0.243038048686294,1.11803398874989,5
"50","Basil","1","12","3","1","3","1",2016-11-18,"0","1","0",2016-11-21,"1",0,53.98,47.87,5.2,0.792391689498254,2.38746727726266,99
"50","Lettuce","1","1","2","1","3","2",2016-11-18,"1","1","1",2016-11-20,"1",2,129.61,114.18,13.58,1.16375752398196,3.75233260785874,131
"50","Basil","1","13","3","1","3","3",2016-11-18,"0","1","0",2016-11-20,"1",0,78.15,63.88,10.45,1.05880548667591,3.30907842155486,128
"50","Basil","1","2","2","1","3","4",2016-11-18,"0","1","0",2016-11-21,"1",0,54.09,45.14,7.92,0.950364854376123,2.90172362570938,120
"25","Basil","1","4","3","1","4","1",2016-11-18,"1","2","0",2016-11-22,"1",0,40.08,34.5,5.17,0.790285164033242,2.38117617995813,97
"25","Lettuce","1","6","2","1","4","2",2016-11-18,"1","2","1",2016-11-19,"1",2,115.46,110.95,3.47,0.650307523131937,1.99248588451713,71
"100","Lettuce","1","2","4","1","4","3",2016-11-18,"0","1","0",2016-11-22,"1",0,16.71,14.51,1.75,0.439332693830263,1.5,18
"25","Basil","1","6","2","1","4","4",2016-11-18,"0","2","0",2016-11-21,"1",0,55.19,47.61,6.24,0.859738566197147,2.59615099714943,108
