"Trtmt","Sp","Rep","ID","Plate","Tray","Row","Col","Date.Sowed","H","Ex","C","Pheno","DateEmerg","D2Emerg","Survival","HarvestD","No.Lvs","WetWt","A_WetWt","B_WetWt","PhotoIDNo.","PhotoIDLet","PhotoIDAdd","PhotoID"
"0","Basil","2","1","1","9","9","1",2016-11-27,"0","2","0","0.2.0",2016-12-02,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
"0","Basil","2","2","1","8","4","4",2016-11-27,"0","2","0","0.2.0",2016-12-02,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
"0","Basil","2","3","1","5","4","4",2016-11-27,"0","2","0","0.2.0",2016-11-30,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
"0","Basil","2","4","1","10","8","2",2016-11-27,"0","2","0","0.2.0",2016-12-02,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
"0","Basil","2","5","2","2","3","1",2016-11-27,"0","2","1","0.2.1",2016-12-02,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
"0","Basil","2","6","2","8","10","4",2016-11-27,"0","2","1","0.2.1",2016-12-01,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
"0","Basil","2","7","2","9","2","4",2016-11-27,"0","2","1","0.2.1",2016-12-01,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
"0","Basil","2","8","2","5","1","2",2016-11-27,"0","2","1","0.2.1",2016-11-30,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
"0","Basil","2","9","3","6","6","1",2016-11-27,"0","2","1","0.2.1",2016-12-02,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
"0","Basil","2","10","3","2","8","1",2016-11-27,"0","2","1","0.2.1",2016-12-04,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
"0","Basil","2","11","3","12","1","1",2016-11-27,"0","2","1","0.2.1",2016-12-02,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
"0","Basil","2","12","3","11","4","4",2016-11-27,"0","2","1","0.2.1",2016-12-02,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
"0","Basil","2","13","4","11","10","1",2016-11-27,"0","2","1","0.2.1",2016-12-01,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
"0","Basil","2","14","4","6","10","4",2016-11-27,"0","2","1","0.2.1",2016-12-03,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
"0","Basil","2","15","4","1","8","1",2016-11-27,"0","2","1","0.2.1",2016-12-02,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
"0","Basil","2","16","4","8","9","3",2016-11-27,"0","2","1","0.2.1",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
"0","Basil","2","17","5","5","2","1",2016-11-27,"0","2","1","0.2.1",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
"0","Basil","2","18","5","6","8","3",2016-11-27,"0","2","1","0.2.1",2016-12-01,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
"0","Basil","2","19","5","10","8","4",2016-11-27,"0","2","1","0.2.1",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
"0","Basil","2","20","5","3","2","3",2016-11-27,"0","2","1","0.2.1",2016-12-01,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
"0","Lettuce","2","1","1","5","5","1",2016-11-27,"1","2","1","1.2.1",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
"0","Lettuce","2","2","1","5","8","4",2016-11-27,"1","2","1","1.2.1",2016-12-01,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
"0","Lettuce","2","3","1","10","5","3",2016-11-27,"1","2","1","1.2.1",2016-11-29,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
"0","Lettuce","2","4","1","8","9","4",2016-11-27,"1","2","1","1.2.1",2016-11-29,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
"0","Lettuce","2","5","2","3","3","4",2016-11-27,"1","2","1","1.2.1",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
"0","Lettuce","2","6","2","7","1","2",2016-11-27,"1","2","1","1.2.1",2016-11-29,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
"0","Lettuce","2","7","2","8","8","4",2016-11-27,"1","2","1","1.2.1",2016-11-28,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
"0","Lettuce","2","8","2","12","2","3",2016-11-27,"1","2","1","1.2.1",2016-12-02,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
"0","Lettuce","2","9","3","6","1","2",2016-11-27,"1","2","1","1.2.1",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
"0","Lettuce","2","10","3","8","5","4",2016-11-27,"1","2","1","1.2.1",2016-11-29,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
"0","Lettuce","2","11","3","12","1","2",2016-11-27,"1","2","1","1.2.1",2016-11-28,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
"0","Lettuce","2","12","3","4","9","1",2016-11-27,"1","2","1","1.2.1",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
"0","Lettuce","2","13","4","4","8","1",2016-11-27,"1","2","1","1.2.1",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
"0","Lettuce","2","14","4","2","3","2",2016-11-27,"1","2","1","1.2.1",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
"0","Lettuce","2","15","4","10","4","1",2016-11-27,"1","2","1","1.2.1",2016-11-30,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
"0","Lettuce","2","16","4","3","4","3",2016-11-27,"1","2","1","1.2.1",2016-11-29,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
"0","Lettuce","2","17","5","3","3","1",2016-11-27,"1","2","1","1.2.1",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
"0","Lettuce","2","18","5","4","7","4",2016-11-27,"1","2","1","1.2.1",2016-11-29,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
"0","Lettuce","2","19","5","8","3","2",2016-11-27,"1","2","1","1.2.1",2016-11-29,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
"0","Lettuce","2","20","5","11","6","3",2016-11-27,"1","2","1","1.2.1",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
"0.5","Basil","2","1","1","6","1","1",2016-11-27,"0","2","0","0.2.0",2016-12-01,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
"0.5","Basil","2","2","1","8","7","3",2016-11-27,"0","2","0","0.2.0",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
"0.5","Basil","2","3","1","11","9","2",2016-11-27,"0","2","0","0.2.0",2016-12-01,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
"0.5","Basil","2","4","1","8","8","2",2016-11-27,"0","2","0","0.2.0",2016-12-01,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
"0.5","Basil","2","5","2","8","5","2",2016-11-27,"0","2","0","0.2.0",NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
"0.5","Basil","2","6","2","2","7","3",2016-11-27,"0","2","0","0.2.0",2016-12-04,NA,NA,"",NA,NA,NA,NA,NA,"",NA,""
